id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43800974,f,Manhattan,4,0.0,1.0,0.0,220,7,20,50,80,170,0,0.0,0.0
43802506,f,Manhattan,1,0.0,1.0,0.0,55,30,0,29,59,334,0,0.0,0.0
43803118,t,Brooklyn,6,0.0,1.0,2.0,55,30,0,0,0,245,1,5.0,0.1
43803619,f,Manhattan,1,0.0,1.0,0.0,84,30,0,0,0,0,1,4.0,0.07
43804955,f,Manhattan,4,0.0,2.0,2.0,155,30,0,0,0,0,0,0.0,0.0
43806406,f,Queens,2,0.0,1.0,1.0,55,30,0,0,0,124,1,5.0,0.1
43806531,f,Manhattan,1,0.0,0.0,1.0,50,30,0,0,0,0,1,3.0,0.07
43806992,f,Queens,1,0.0,1.0,1.0,51,30,16,29,59,334,0,0.0,0.0
43807300,f,Manhattan,2,0.0,1.0,1.0,69,30,0,23,53,328,0,0.0,0.0
43813121,f,Queens,3,0.0,1.0,1.0,89,30,0,0,0,0,1,5.0,0.08
43813411,f,Bronx,4,0.0,1.0,1.0,105,1,13,34,64,153,86,4.51,8.87
43814549,f,Manhattan,2,0.0,2.0,2.0,250,1,15,41,71,346,0,0.0,0.0
43815770,f,Manhattan,5,0.0,0.0,2.0,275,1,26,26,26,26,29,4.45,13.38
43817473,f,Queens,2,0.0,1.0,1.0,37,30,5,35,35,35,0,0.0,0.0
43817787,f,Brooklyn,1,0.0,1.0,1.0,80,2,20,49,79,169,0,0.0,0.0
43819542,t,Brooklyn,1,0.0,1.0,1.0,42,3,1,11,18,261,40,4.8,5.06
43820109,f,Bronx,2,0.0,1.0,1.0,62,2,10,36,66,156,12,4.42,1.08
43820337,f,Queens,1,0.0,1.0,1.0,49,30,0,28,58,333,3,4.67,0.31
43820586,f,Queens,1,0.0,1.0,1.0,50,30,0,0,0,124,6,4.0,0.5
43821239,f,Bronx,1,0.0,1.0,0.0,45,30,5,35,65,340,1,5.0,0.31
43822047,f,Brooklyn,4,0.0,2.0,2.0,750,30,30,60,90,365,0,0.0,0.0
43826411,f,Brooklyn,2,0.0,1.0,0.0,40,30,0,0,0,252,0,0.0,0.0
43831018,t,Brooklyn,5,0.0,3.0,3.0,289,2,0,0,0,0,30,4.97,2.38
43831692,f,Manhattan,8,0.0,3.0,3.0,425,30,0,0,30,305,2,4.0,0.16
43834804,t,Brooklyn,4,0.0,2.0,2.0,235,1,10,35,65,65,53,4.91,3.84
43836149,f,Brooklyn,8,0.0,1.0,0.0,200,1,29,59,89,89,3,3.33,0.5
43843432,f,Brooklyn,5,0.0,2.0,3.0,100,30,0,0,0,0,1,4.0,0.08
43844044,f,Manhattan,3,0.0,0.0,2.0,195,1,26,26,26,26,24,4.5,1.73
43845812,f,Queens,1,0.0,1.0,0.0,65,30,0,0,0,0,0,0.0,0.0
43845928,f,Manhattan,1,0.0,1.0,1.0,58,30,0,0,0,0,0,0.0,0.0
43846580,f,Queens,2,0.0,1.0,0.0,65,1,5,30,56,331,34,4.62,2.79
43847085,t,Bronx,4,0.0,1.0,1.0,122,1,8,22,43,215,111,4.84,111.0
43847186,f,Manhattan,2,0.0,1.0,1.0,150,30,29,59,89,89,0,0.0,0.0
43848101,f,Queens,1,0.0,1.0,1.0,40,30,0,0,0,0,0,0.0,0.0
43855371,t,Brooklyn,1,0.0,1.0,1.0,36,3,0,0,0,0,6,5.0,0.43
43858927,f,Manhattan,2,0.0,2.0,2.0,350,1,0,0,0,272,1,5.0,1.0
43860696,f,Brooklyn,2,0.0,1.0,1.0,90,3,16,16,16,16,8,4.75,0.55
43861847,t,Bronx,2,0.0,1.0,1.0,64,30,0,0,0,0,20,5.0,1.81
43861958,t,Manhattan,1,0.0,1.0,1.0,144,3,11,34,34,34,15,5.0,1.28
